sigma,omega,run,beta,val_mse,L_used
0.1,1,0,1.3475638893645217e-07,0.020718302969518626,204398.15259863582
0.1,1,0,2.381451823660547e-07,0.020718302969518626,204398.15259863582
0.1,1,0,4.208566905937646e-07,0.020718302969518626,204398.15259863582
0.1,1,0,7.437494735681141e-07,0.020718302969518626,204398.15259863582
0.1,1,0,1.3143744457345273e-06,0.020718302969518727,104723.14205562329
0.1,1,0,2.322798529606933e-06,0.0207753877978466,26149.63619806696
0.1,1,0,4.104913197798029e-06,0.0207753877978466,26149.63619806696
0.1,1,0,7.254315062920189e-06,0.020846862022072834,21862.94472107145
0.1,1,0,1.2820024321181764e-05,0.020864831937480916,12224.459546638718
0.1,1,0,2.265589820268055e-05,0.020870819775847246,12224.459546638718
0.1,1,0,4.0038123993426886e-05,0.020777015864809196,6696.514761055837
0.1,1,0,7.07564696209378e-05,0.0207981273761328,4092.696899850807
0.1,1,0,0.00012504277158541707,0.020490638591344926,3070.3436177076355
0.1,1,0,0.00022097901166533043,0.0193133602505725,1539.268928588475
0.1,1,0,0.00039052016344046856,0.01871929020989463,1035.2527092050382
0.1,1,0,0.000690137931671712,0.018940699503905648,2726.2761878784336
0.1,1,0,0.001219630660132905,0.016603709677690363,4120.77475756407
0.1,1,0,0.0021553647160547696,0.013397575394484794,862.3800515096866
0.1,1,0,0.0038090195754078705,0.011200749312059615,348.06547281173965
0.1,1,0,0.006731403747017484,0.010352028031768538,220.68283331017165
0.1,1,0,0.011895921117840155,0.010108226621990988,332.50128709928515
0.1,1,0,0.021022797704650563,0.010148825852420981,133.45562188125692
0.1,1,0,0.037152064052262616,0.010068057877379617,71.90960253472537
0.1,1,0,0.06565614542531065,0.010003343271574525,30.515258799896454
0.1,1,0,0.11602933893647296,0.01003611378483344,38.6341495295278
0.1,1,0,0.20505022655266922,0.010424039368121085,70.38257619983746
0.1,1,0,0.3623703779982862,0.012577580426496149,14.63577564759957
0.1,1,0,0.6403908596360022,0.02642265273081172,23.30012721546353
0.1,1,0,1.1317162715415918,0.11167736469594487,7.92415109576581
0.1,1,0,2.0,0.2868013505431309,0.0
0.1,1,1,3.30003460113914e-08,0.02017554911958209,62888.121531553494
0.1,1,1,6.121825683904534e-08,0.02017554911958209,62888.121531553494
0.1,1,1,1.1356471744622534e-07,0.02017554911958209,62888.121531553494
0.1,1,1,2.1067154987031929e-07,0.02017554911958209,62888.121531553494
0.1,1,1,3.9081241888158006e-07,0.02017554911958209,62888.121531553494
0.1,1,1,7.249880054809895e-07,0.02017554911958209,62888.121531553494
0.1,1,1,1.3449101991064607e-06,0.02017554911958209,62888.121531553494
0.1,1,1,2.4949149916770714e-06,0.02017554911958209,62888.121531553494
0.1,1,1,4.62826500968654e-06,0.020161120624476832,44400.52100087758
0.1,1,1,8.585798342367501e-06,0.020159338963397347,34285.473905272374
0.1,1,1,1.592733627428842e-05,0.02019610264242564,14941.612930288466
0.1,1,1,2.9546470890476658e-05,0.02007964137915367,9575.449375806647
0.1,1,1,5.481104480044558e-05,0.02000115674496461,5352.262357118169
0.1,1,1,0.00010167883139927803,0.019869662116813264,3588.1523051683257
0.1,1,1,0.0001886222894010359,0.019070624145658587,1715.769875402489
0.1,1,1,0.00034990929350060205,0.018234347235752436,1436.9841817746633
0.1,1,1,0.0006491094666854258,0.017312850572605582,1165.673515896204
0.1,1,1,0.001204149496932161,0.015608518081997891,5319.0514812923375
0.1,1,1,0.0022337927350929705,0.013654359791785985,1775.9905286875455
0.1,1,1,0.0041438625320749855,0.01186747888743106,1152.2992417453338
0.1,1,1,0.0076871933617512905,0.011052037474119692,369.8702000917289
0.1,1,1,0.014260352828683986,0.010741212136826203,117.13541480303
0.1,1,1,0.026454084505066564,0.01090500003046933,69.50014302854181
0.1,1,1,0.049074423011017845,0.01085346301412563,42.76463829338666
0.1,1,1,0.09103694340293929,0.010816715082922057,33.74594654165632
0.1,1,1,0.16888074389156355,0.011164543298456526,16.1180301212421
0.1,1,1,0.31328716223623926,0.012789867404490698,14.972334719403419
0.1,1,1,0.5811725112074094,0.02392515217905408,24.032311410883366
0.1,1,1,1.0781210611127179,0.1038055483574198,6.443959032633495
0.1,1,1,2.0,0.2790287306813956,0.0
0.1,1,2,1.6168288310414165e-06,0.019154762393743873,141822.2821871531
0.1,1,2,2.6226819622608636e-06,0.019187100091135226,48026.99727718053
0.1,1,2,4.254291204553788e-06,0.019178307272220675,29667.494986970716
0.1,1,2,6.9009486905311435e-06,0.01919297405266096,24829.802580530806
0.1,1,2,1.1194130946740975e-05,0.01919297405266096,24829.802580530806
0.1,1,2,1.8158165387422868e-05,0.019169969966968684,8458.335905088736
0.1,1,2,2.9454628662620374e-05,0.01903440324321472,7756.620848142757
0.1,1,2,4.777878883368789e-05,0.019147011791474555,6119.033518858781
0.1,1,2,7.750268009018086e-05,0.01911541247486541,3025.723765286411
0.1,1,2,0.00012571824376020438,0.019060782058468482,3025.723765286411
0.1,1,2,0.00020392942277298886,0.01835227319465348,1884.5899128573467
0.1,1,2,0.00033079693311535604,0.017732320593220503,1158.6636150322722
0.1,1,2,0.0005365905982107229,0.016371482403919568,3047.843843641261
0.1,1,2,0.0008704115463722702,0.015382559923994683,786.7702737752328
0.1,1,2,0.0014119074441193335,0.013738147244408918,577.8139689863394
0.1,1,2,0.002290275949426559,0.01278391747438765,728.8463746093317
0.1,1,2,0.0037150904943301566,0.011458618048913414,656.3462673017061
0.1,1,2,0.006026303242855092,0.011097095083624704,334.60242019971963
0.1,1,2,0.009775355628690734,0.011005993504832915,345.998623472379
0.1,1,2,0.015856748958106414,0.010782864452893195,2593.599990408055
0.1,1,2,0.02572146703107568,0.010731324603048466,152.40719504944843
0.1,1,2,0.041723172131856626,0.010733684721523766,64.68040687081448
0.1,1,2,0.06767977466609293,0.010561044916908298,18.65301138836873
0.1,1,2,0.10978436357564854,0.010467495087876078,79.3570825998385
0.1,1,2,0.1780828400385977,0.010467064707716611,23.240527145648265
0.1,1,2,0.2888708089504948,0.011007441816596263,11.393467857843104
0.1,1,2,0.46858161204991505,0.014759264487543767,63.89565019481578
0.1,1,2,0.7600931639614914,0.038881476085307336,28.520972296493934
0.1,1,2,1.2329583642292956,0.14089725085895444,7.61933486963044
0.1,1,2,2.0,0.2809190934411043,0.0
0.1,1,3,9.043163831101707e-07,0.02063253469086455,136902.29755613903
0.1,1,3,1.4965922377851512e-06,0.02063253469086455,136902.29755613903
0.1,1,3,2.476775128739321e-06,0.02061887280097666,61076.86887438017
0.1,1,3,4.098922126858123e-06,0.02046849433076784,40381.05596064926
0.1,1,3,6.78348325089929e-06,0.020376099912419753,15930.115039951223
0.1,1,3,1.1226279395188899e-05,0.020370691362576396,13992.612439627965
0.1,1,3,1.8578854608675426e-05,0.020348315942921236,13596.35216698365
0.1,1,3,3.074694887054275e-05,0.02006356179121247,7060.124479793889
0.1,1,3,5.0884453576934945e-05,0.019997131042274515,10099.12261461971
0.1,1,3,8.42108798087562e-05,0.019744003371228523,3448.623043689893
0.1,1,3,0.00013936422187265537,0.019140721863897467,2147.7440548102513
0.1,1,3,0.00023063986960211228,0.018166557636122464,1729.9593558240133
0.1,1,3,0.00038169588101805846,0.01770799254437552,1456.0025494273275
0.1,1,3,0.0006316849980772688,0.017319809284294906,6687.993138671489
0.1,1,3,0.0010454027843622474,0.015822755548691555,696.7876397179297
0.1,1,3,0.0017300822164192957,0.013460536931417043,828.5524696369898
0.1,1,3,0.002863187778284238,0.011701174041410512,1531.4126908021296
0.1,1,3,0.004738413108877038,0.010621503206701943,255.27615191246812
0.1,1,3,0.007841804495209333,0.010408907256173357,532.5141346956032
0.1,1,3,0.012977740928894844,0.010232841255880865,83.02909938841486
0.1,1,3,0.021477423942461625,0.009915813953703596,111.76243832383197
0.1,1,3,0.035543916443669166,0.009855558454162604,88.65967975156052
0.1,1,3,0.05882316238386535,0.00971179061832645,28.37398270097556
0.1,1,3,0.09734899186819593,0.009644767215186057,19.99463699434194
0.1,1,3,0.16110705092512134,0.009771267993275434,19.55915994675668
0.1,1,3,0.26662301642457314,0.010309117156578904,18.141826098152634
0.1,1,3,0.4412459447251512,0.013674589563026059,34.06155758330293
0.1,1,3,0.7302369703384967,0.032450803016203754,36.50085221320116
0.1,1,3,1.2085006994937946,0.12849747214916035,12.189751200689185
0.1,1,3,2.0,0.28311131558566055,0.0
0.1,1,4,5.839156165254879e-07,0.018595877331435324,118530.4096082453
0.1,1,4,9.81033595899781e-07,0.018595877331435324,118530.4096082453
0.1,1,4,1.6482294513903394e-06,0.018510397998260507,82130.02054860548
0.1,1,4,2.769181744422154e-06,0.01851039799826053,72121.35962221306
0.1,1,4,4.6524878724696975e-06,0.01851121106307084,33249.895387484685
0.1,1,4,7.81662072093227e-06,0.018500708853121942,33249.895387484685
0.1,1,4,1.3132663892893526e-05,0.018482737216274314,15277.32681674007
0.1,1,4,2.2064120427623783e-05,0.018088882237395097,11348.656673853697
0.1,1,4,3.706981418355805e-05,0.01790787069435135,7923.834103541086
0.1,1,4,6.22808023601563e-05,0.017570708204798193,3364.2059657032305
0.1,1,4,0.00010463765271165824,0.01750625728160686,2670.7123899453627
0.1,1,4,0.00017580117708968616,0.017289742668098674,3182.4384454530264
0.1,1,4,0.0002953626449485117,0.016866953218056105,1107.3727066420458
