sigma,run,mlp_mse,uf_mse,mlp_maxerr,uf_maxerr,beta_min,beta_max,beta_star,L_used
0.0,0,3.380121822182685e-07,2.160191985559016e-07,0.004224517515770604,0.004691995095269352,5.8336262043212595e-08,2.0,1.2717895100424718e-05,3.3458813200075115
0.0,1,3.857979499351226e-07,1.3373946121129473e-07,0.004229250299724818,0.0023770289486008123,1.769605728618727e-07,2.0,1.769605728618727e-07,3.1499916777756676
0.0,2,1.576367404255908e-06,1.2807237120937353e-07,0.006655016599134922,0.002118765359209851,3.9709683163913217e-07,2.0,5.681155717942486e-06,3.149999793663481
0.0,3,0.00048200332138335114,1.5239759474447647e-07,0.028318104482400186,0.002282977174408618,1.0488465955749143e-06,2.0,1.0488465955749143e-06,3.1499999560818646
0.0,4,0.0001313228371538468,1.4143540892389872e-07,0.01585773485051792,0.002582489757994355,4.3923000014878276e-07,2.0,4.3923000014878276e-07,3.149999024488534
0.0,5,2.661008958025115e-07,1.5237897500935136e-07,0.004037090710274388,0.0034544000097155025,3.413994953405106e-08,2.0,3.413994953405106e-08,3.1499941972296477
0.0,6,2.341336172470324e-07,1.5424630286624117e-07,0.002846428326241185,0.0030283592855088193,4.157510362645665e-07,2.0,4.157510362645665e-07,3.1499987915097236
0.0,7,0.00017969078735516412,1.8535815301310155e-07,0.019923550089185504,0.006565703488498609,1.8404476114231002e-06,2.0,2.9721112691416184e-06,3.1499899023293643
0.0,8,1.6621845011469627e-06,1.542639337145387e-07,0.008709707430473973,0.003825607998179492,9.995514826943727e-07,2.0,9.995514826943727e-07,3.1499987115548516
0.0,9,3.8882903622589005e-07,1.46645493247553e-07,0.003511556557289769,0.004387637531615252,1.0852596421528918e-07,2.0,1.0852596421528918e-07,3.149997059313334
0.05,0,0.0003104838301149148,9.228776723351222e-05,0.03338585758316959,0.05166550720832436,4.2060295513124386e-07,2.0,0.02877765914808539,114.25408532517015
0.05,1,2.2708652779871265e-05,8.181587722415404e-05,0.019453174536428475,0.052177663375309546,2.3566973283983835e-07,2.0,0.014149323041448142,74.7526638156583
0.05,2,4.135207797349201e-05,7.812314187426728e-05,0.019051062541309394,0.043105627249248324,1.2428817013354636e-06,2.0,0.023705205589191192,106.30661083492986
0.05,3,3.757035562474178e-05,7.553186113487145e-05,0.016750999284400714,0.047757246167942025,4.5781697988189736e-08,2.0,0.02862928186797027,40.904863008195335
0.05,4,3.2324391493053244e-05,7.780002520652978e-05,0.024699234536759068,0.04207702396147031,2.1533419403141338e-07,2.0,0.023924672230643883,126.96916759201433
0.05,5,3.693898237743348e-05,7.408874074398995e-05,0.014040809639304763,0.04387882196386436,8.085510643240924e-07,2.0,0.03446313739981512,29.288753500307635
0.05,6,2.247839235184303e-05,8.093362103809284e-05,0.01274553629323516,0.029897362932985505,6.340879206145896e-07,2.0,0.019236942307131782,49.50134386124041
0.05,7,4.208191221694063e-05,8.345574492164448e-05,0.02382954701233453,0.034984105964495554,6.42543929174621e-07,2.0,0.019316194211387375,62.29051740682372
0.05,8,3.4036004352258805e-05,7.214041761504244e-05,0.016020427729536046,0.03733617418100463,4.2475390982232885e-08,2.0,0.028115931010852715,56.082692021426915
0.05,9,2.131534905484257e-05,0.0001113819088156937,0.01876399772512119,0.07361841054091453,2.240718233181835e-08,2.0,0.045296998682609335,47.645254838144595
0.1,0,0.0001328940726397599,0.00025007152700707365,0.04437483208524387,0.06328935619423307,1.2656441139569091e-07,2.0,0.02066220405240704,1239.5603491428838
0.1,1,0.0002733026788169246,0.00021181090959194294,0.03214874635747672,0.06569175346462502,1.7051377865229266e-07,2.0,0.03932369813551449,165.3435869538625
0.1,2,0.00014201323380671184,0.0001780391690159761,0.02848334585890855,0.06123756111062906,3.6470634179330824e-07,2.0,0.04724478754866793,78.509406894882
0.1,3,9.658274595537369e-05,0.00022106717259097512,0.02132521655319075,0.08913160596092087,6.013240498869978e-07,2.0,0.05330563248343379,55.23638874946088
0.1,4,0.00020118420851025786,0.00032974125647897905,0.05013177650319736,0.10909218106697963,4.629554362090008e-07,2.0,0.05004489711496276,113.63881834691344
0.1,5,0.0001462462643526399,0.00029017856756891454,0.03444097338931196,0.05147565022048223,7.936012742515437e-07,2.0,0.02062433900738016,162.53299928507533
0.1,6,0.00012648996437634186,0.0001679784817949068,0.044887758434981606,0.06258454869125454,6.738573066211729e-07,2.0,0.032773530068400544,94.62717499926866
0.1,7,0.00013496367936303804,0.00020174533154335058,0.030431704256412312,0.0470272317043855,1.325740757174287e-06,2.0,0.02418479016283104,313.38619509862167
0.1,8,0.00018568326019516952,0.00032546663316495493,0.03336424396676285,0.10484500929692325,7.307963900693445e-08,2.0,0.05784848757527575,42.04423012584884
0.1,9,9.169546379016186e-05,0.00018312674559990645,0.04546959059583347,0.09809133495931757,6.628052939827707e-07,2.0,0.054573020173996116,80.84121032752125
0.2,0,0.0006699236948615208,0.0006108923663478707,0.06245519284793355,0.09238167698032107,5.736970787317838e-08,2.0,0.055023008864284496,226.16671415779194
0.2,1,0.00034828009463822653,0.0005905474165360219,0.05855802553044956,0.13476298317283839,1.2948206817853242e-07,2.0,0.06511602040010107,66.95582038963911
0.2,2,0.000572428873011016,0.00047873093443978544,0.04980641861003676,0.10131237456026423,2.351158281399534e-07,2.0,0.07366971734156141,74.36236178434264
0.2,3,0.0009009583612358967,0.001390454485411474,0.12170543159066483,0.16933949025958409,1.4014352458513457e-06,2.0,0.106584505080977,98.96990835120305
0.2,4,0.0005610148872385488,0.000574411194713671,0.07316902605981124,0.07649544517215001,3.156049033226081e-07,2.0,0.04562421263969241,644.1659202455306
0.2,5,0.0002950081657853072,0.0007135944936812894,0.04818697844457531,0.14025140805501127,5.961994828940221e-07,2.0,0.053195622934421566,204.36945821966845
0.2,6,0.0005473431724512172,0.0006127763335627625,0.07872096951637064,0.06756626099195956,4.4840500601495137e-07,2.0,0.04966062429692992,109.95717821457288
0.2,7,0.0004976519993265452,0.0005304048190550859,0.0613921233110436,0.06036186234703675,1.35507878118446e-06,2.0,0.03973917409056851,87.47010756435714
0.2,8,0.0002381033900473034,0.00033463050859232276,0.03707674228462088,0.07963238595693403,5.46987687144451e-07,2.0,0.05210086367568665,255.6934234711722
0.2,9,0.000401371536239834,0.0007026373638866242,0.09123581009256046,0.15847764991727745,1.0327175514746044e-07,2.0,0.062139077519737754,213.12223955734623
0.4,0,0.0012261048393414499,0.0011681985495544305,0.12710149685468541,0.1616814784788276,9.307814172743185e-07,2.0,0.09793170477114539,226.17197521319645
0.4,1,0.001746736524598931,0.0021368709929371617,0.18549925030239756,0.12022581956820333,1.1796719123768893e-06,2.0,0.03824820235330083,254.95443822882814
0.4,2,0.0028238182681291266,0.0019703641309904247,0.1438804009228969,0.11223956220368264,3.1023571267496624e-08,2.0,0.048451234795816846,383.6807024867175
0.4,3,0.0013877650753283447,0.0014302723229734004,0.09153441100225101,0.12132567317718987,5.280265484852723e-07,2.0,0.08709376197654377,171.00271020973304
0.4,4,0.0032413980148095264,0.001178690229797508,0.22829128502435792,0.09916252156736077,3.783629665132796e-07,2.0,0.08129041984790471,75.10325849636781
0.4,5,0.0020458276266471,0.0010350272770509026,0.14073876544258024,0.14094713641677253,9.675530052710708e-07,2.0,0.09871991568772924,123.13617530004865
0.4,6,0.0014450939006841294,0.0028169680442501318,0.17041175852070867,0.23318658242537352,6.659431825983825e-07,2.0,0.15282825265175473,73.81440645100302
0.4,7,0.0045161066820585466,0.003715199873274725,0.19751611155231097,0.15156184639188314,6.965877625830781e-07,2.0,0.03307484479883526,316.6745175380322
0.4,8,0.002375761318781499,0.0028515802422728557,0.15115580034476073,0.2294675078615241,2.0863622052225129e-07,2.0,0.1251119840807299,1146.2844745862378
0.4,9,0.0016837205250274721,0.0022009838174496693,0.11381319659497874,0.20930213804967532,4.01134157002048e-08,2.0,0.09415283107974465,640.8128287785593
0.8,0,0.013265654128205427,0.01113714074984054,0.8265639602746351,0.3484597478129675,3.7501201788359145e-07,2.0,0.23614025172855724,282.6066200554401
0.8,1,0.014780487365032765,0.007359665418684506,0.4252307925905069,0.261787429468581,8.181570287923981e-08,2.0,0.059215891531820095,571.8519190299237
0.8,2,0.01649888098253457,0.005202740370172705,0.6051518292464674,0.2277851652841676,1.226565896184085e-06,2.0,0.06331401657262783,303.9639150265381
0.8,3,0.010469736465474352,0.006884661334163427,0.33685503019606855,0.2123004187704571,1.227781192936205e-06,2.0,0.06332915316811288,300.3182191893304
0.8,4,0.012947682690843476,0.006994737103412822,0.4576337936112752,0.3156393751432317,1.4903217016026826e-07,2.0,0.11806130706744318,526.9710763908898
0.8,5,0.012759686108719272,0.0036536298966700427,0.4651782844307657,0.18130369897509593,5.713510997651389e-09,2.0,0.13259578834210134,582.9730943841012
0.8,6,0.012326795591358124,0.008117321583876076,0.5249727682587784,0.25810181691069284,5.396717994710084e-07,2.0,0.05193180031635254,356.84147613001085
0.8,7,0.010626075968220313,0.0037643067351167767,0.5622498343069363,0.24426885054536188,7.388371359162703e-07,2.0,0.15558993493617712,96.10306554698451
0.8,8,0.008764871220741087,0.0035630096565756877,0.3291785289843495,0.13902674836785278,2.5537736485503636e-06,2.0,0.07557482114744173,291.1234840675538
0.8,9,0.012198703214240839,0.006415155998890429,0.33327650903681016,0.2783075006628894,7.677539748396357e-07,2.0,0.09410689839912048,1490.311125997757
1.6,0,0.07335621110086578,0.021790636019057508,0.9204323703759381,0.43562925661264584,3.47319144555769e-07,2.0,0.07986324890165336,402.67779890374607
1.6,1,0.04068733777735913,0.007163891135500168,0.7225044121101154,0.4014207858789093,4.2022537005692644e-08,2.0,0.1746054902141359,985.4461008818348
1.6,2,0.04639060914669021,0.014614138055888641,0.8765159308311087,0.3240533194422217,7.34110382927255e-07,2.0,0.15541785891331183,175.51127969564737
1.6,3,0.04346932425480179,0.01702265087256237,0.67379756654321,0.4376517946919558,6.329006996264047e-07,2.0,0.15149316072191663,165.39608744912863
1.6,4,0.0642531914480145,0.019349512190222403,0.9664238999922354,0.40430028924665284,1.3661500153361332e-08,2.0,0.07819513235039836,701.7418293809855
1.6,5,0.035607342404516434,0.007032500295262207,1.0683340819893983,0.18496728542486174,1.2084720795169097e-06,2.0,0.16936522421461392,196.02446169860616
